param_name,expanded_key,param_value,audience_reserve_final,treasury_runway_epochs,final_amm_price,data_asset_value_final
ongoing_acr_issue_rate_by_cohort,passive_viewers,0.5555555555555556,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
ongoing_acr_issue_rate_by_cohort,passive_viewers,0.6111111111111112,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
ongoing_acr_issue_rate_by_cohort,passive_viewers,0.6666666666666666,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
ongoing_acr_issue_rate_by_cohort,passive_viewers,0.7222222222222222,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
ongoing_acr_issue_rate_by_cohort,passive_viewers,0.7777777777777778,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
ongoing_acr_issue_rate_by_cohort,passive_viewers,0.8333333333333333,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
ongoing_acr_issue_rate_by_cohort,passive_viewers,0.8888888888888888,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
ongoing_acr_issue_rate_by_cohort,passive_viewers,0.9444444444444444,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
ongoing_acr_issue_rate_by_cohort,passive_viewers,1.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
ongoing_acr_issue_rate_by_cohort,active_viewers,2.5,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
ongoing_acr_issue_rate_by_cohort,active_viewers,2.3333333333333335,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
ongoing_acr_issue_rate_by_cohort,active_viewers,2.1666666666666665,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
ongoing_acr_issue_rate_by_cohort,active_viewers,2.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
ongoing_acr_issue_rate_by_cohort,active_viewers,1.8333333333333335,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
ongoing_acr_issue_rate_by_cohort,active_viewers,1.6666666666666667,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
ongoing_acr_issue_rate_by_cohort,active_viewers,1.5,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
ongoing_acr_issue_rate_by_cohort,active_viewers,1.3333333333333335,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
ongoing_acr_issue_rate_by_cohort,active_viewers,1.1666666666666667,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
ongoing_acr_issue_rate_by_cohort,active_viewers,1.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
ongoing_acr_issue_rate_by_cohort,power_users,10.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
ongoing_acr_issue_rate_by_cohort,power_users,9.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
ongoing_acr_issue_rate_by_cohort,power_users,8.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
ongoing_acr_issue_rate_by_cohort,power_users,7.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
ongoing_acr_issue_rate_by_cohort,power_users,6.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
ongoing_acr_issue_rate_by_cohort,power_users,5.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
ongoing_acr_issue_rate_by_cohort,power_users,4.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
ongoing_acr_issue_rate_by_cohort,power_users,3.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
ongoing_acr_issue_rate_by_cohort,power_users,2.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
ongoing_acr_issue_rate_by_cohort,power_users,1.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
ongoing_acr_issue_rate_by_cohort,adversarial_whales,5.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
ongoing_acr_issue_rate_by_cohort,adversarial_whales,4.555555555555555,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
ongoing_acr_issue_rate_by_cohort,adversarial_whales,4.111111111111111,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
ongoing_acr_issue_rate_by_cohort,adversarial_whales,3.666666666666667,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
ongoing_acr_issue_rate_by_cohort,adversarial_whales,3.2222222222222223,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
ongoing_acr_issue_rate_by_cohort,adversarial_whales,2.7777777777777777,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
ongoing_acr_issue_rate_by_cohort,adversarial_whales,2.3333333333333335,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
ongoing_acr_issue_rate_by_cohort,adversarial_whales,1.8888888888888893,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
ongoing_acr_issue_rate_by_cohort,adversarial_whales,1.4444444444444446,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
ongoing_acr_issue_rate_by_cohort,adversarial_whales,1.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
vesting_lag_epochs,,2.0,14342716.625831254,9999.0,0.1001861118146543,1436941.0116014313
vesting_lag_epochs,,3.0,14344148.106043657,9999.0,0.10018265300844942,1437034.8124095786
vesting_lag_epochs,,4.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
vesting_lag_epochs,,5.0,14347332.669931717,9999.0,0.1001795912426444,1437309.9222959974
